                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2578,                 5.0189,                 4.1402,                0.00075,                0.38678,                  0.004,                0.00083,                 2.8608,                 4.5792,                 4.1026,              0.0004638,              0.0004638,              0.0004638
                      2,                   2.78,                 4.4105,                 3.5883,                0.02275,                0.20034,                0.02115,                 0.0051,                 2.4536,                 5.1576,                 3.3925,             0.00094007,             0.00094007,             0.00094007
                      3,                 2.6467,                 3.9284,                 3.3377,                0.45107,                0.29655,                0.11347,                  0.046,                 2.3005,                 20.388,                 4.2793,              0.0014161,              0.0014161,              0.0014161
                      4,                 2.5593,                 3.6869,                 3.1084,                0.39109,                0.33022,                 0.0807,                0.03595,                 2.1936,                 58.043,                  3.762,              0.0014282,              0.0014282,              0.0014282
                      5,                 2.4543,                 3.5442,                 3.0373,                0.40026,                0.19921,                0.08004,                0.02729,                 2.3505,                 6.8214,                  3.206,              0.0014282,              0.0014282,              0.0014282
                      6,                  2.293,                 3.4285,                  2.896,                0.37162,                0.27051,                0.03263,                 0.0081,                 2.5412,                 7.1699,                 3.5355,              0.0014276,              0.0014276,              0.0014276
                      7,                 2.2831,                 3.2148,                 2.8779,                0.19318,                0.40288,                0.17695,                0.07299,                 2.0762,                 6.1565,                 2.9253,              0.0014268,              0.0014268,              0.0014268
                      8,                 2.3317,                 3.1946,                 2.9549,                0.21175,                0.39621,                0.20096,                0.08224,                 2.1435,                 3.2909,                 2.9519,              0.0014259,              0.0014259,              0.0014259
                      9,                 2.1916,                 2.9647,                  2.844,                0.23495,                0.20928,                0.16807,                0.05732,                 2.2029,                 3.0844,                 3.0673,              0.0014247,              0.0014247,              0.0014247
                     10,                 2.1042,                 2.8425,                 2.7138,                0.20031,                0.33557,                0.12995,                0.05903,                 1.9619,                 3.2919,                 2.8014,              0.0014234,              0.0014234,              0.0014234
                     11,                 2.1482,                  2.798,                 2.7847,                0.29284,                 0.3392,                0.28134,                 0.1292,                 1.9222,                  2.787,                 2.6981,              0.0014219,              0.0014219,              0.0014219
                     12,                 2.0329,                 2.7043,                 2.6842,                0.27604,                0.16822,                0.21456,                0.10114,                 1.9216,                 2.8068,                 2.7818,              0.0014203,              0.0014203,              0.0014203
